ID;Active;Cats;Supp. Ref.;Reference;Цена пост.;Цена;;;Наименование;Supplier
;1;import;76191;K76191;246,64;345;Bourjois;Специальные предложения;Bourjois Помада-блеск для губ 'MAX' 66 тон;cosm
;1;import;76193;K76193;246,64;345;Bourjois;Специальные предложения;Bourjois Помада-блеск для губ 'MAX' 68 тон;cosm
;1;import;83387;K83387;234,95;329;Bourjois;Специальные предложения;Bourjois Пудра компактная 'Delice De Soleil' с эф.загара 14 тон;cosm
;1;import;62935;K62935;238,95;335;Bourjois;Специальные предложения;Bourjois Тени для век с перламутром 'Pastel Lumiere' Re-Pack 07 тон;cosm
;1;import;80483;K80483;287,38;402;Bourjois;Специальные предложения;Bourjois Тени для век тройные 'Smoky eyes' тон 02;cosm
;1;import;78472;K78472;302,13;423;Bourjois;Специальные предложения;Bourjois Тональный крем 'Eclat Foundation Healthy Mix' 51 тон;cosm
;1;import;78473;K78473;302,13;423;Bourjois;Специальные предложения;Bourjois Тональный крем 'Eclat Foundation Healthy Mix' 52 тон;cosm
;1;import;78474;K78474;302,13;423;Bourjois;Специальные предложения;Bourjois Тональный крем 'Eclat Foundation Healthy Mix' 53 тон;cosm
;1;import;78475;K78475;302,13;423;Bourjois;Специальные предложения;Bourjois Тональный крем 'Eclat Foundation Healthy Mix' 54 тон;cosm
;1;import;77959;K77959;247,57;347;Bourjois;Специальные предложения;Bourjois Тушь объемная '1001Cils' 71 тон;cosm
;1;import;84107;K84107;238,95;335;Bourjois;Тени для век;Bourjois Тени для век с перламутром 'Pastel Lumiere' Re-Pack 01 тон NEW;cosm
;1;import;84108;K84108;238,95;335;Bourjois;Тени для век;Bourjois Тени для век с перламутром 'Pastel Lumiere' Re-Pack 02 тон NEW;cosm
;1;import;84109;K84109;238,95;335;Bourjois;Тени для век;Bourjois Тени для век с перламутром 'Pastel Lumiere' Re-Pack 03 тон NEW;cosm
;1;import;84110;K84110;238,95;335;Bourjois;Тени для век;Bourjois Тени для век с перламутром 'Pastel Lumiere' Re-Pack 04 тон NEW;cosm
;1;import;83082;K83082;238,95;335;Bourjois;Тени для век;Bourjois Тени для век с перламутром 'Pastel Lumiere' Re-Pack 05 тон NEW;cosm
;1;import;62934;K62934;238,95;335;Bourjois;Тени для век;Bourjois Тени для век с перламутром 'Pastel Lumiere' Re-Pack 06 тон;cosm
;1;import;84111;K84111;238,95;335;Bourjois;Тени для век;Bourjois Тени для век с перламутром 'Pastel Lumiere' Re-Pack 06 тон NEW;cosm
;1;import;81199;K81199;238,95;335;Bourjois;Тени для век;Bourjois Тени для век с перламутром 'Pastel Lumiere' Re-Pack 07 тон NEW;cosm
